anio_1;anio_2;anio_3;anio_4;anio_5;anio_6;anio_7;anio_8;anio_9;anio_10;anio_11;anio_12;anio_13;anio_14;anio_15;anio_16;anio_17;anio_18;anio_19;anio_20;anio_21;anio_22;anio_23;anio_24
0.829;0.753;0.284;0.419;0.607;0.89;0.488;0.463;0.356;0.448;0.723;0.718;0.493;0.476;1.666;1.099;1.144;1.023;1.355;1.533;1.636;1.051;1.066;0.8
4.445;3.529;2.45;2.49;2.588;3.654;2.975;3.058;3.811;3.909;3.73;3.638;3.069;3.247;4.286;4.457;3.176;2.971;3.746;4.472;4.814;4.976;4.405;3.397
0.319;0.382;0.296;0.347;0.51;0.639;0.757;0.386;0.241;0.299;0.358;0.299;0.365;0.448;0.536;0.492;0.47;0.404;0.475;0.505;0.528;0.509;0.507;0.529
0.929;0.545;0.53;0.702;0.589;0.582;0.688;0.653;1.137;0.674;0.55;0.724;0.643;0.945;1.054;0.989;0.903;0.8;0.751;0.789;0.645;0.735;0.652;0.64
0.579;0.724;0.711;0.716;0.865;0.873;1.025;0.937;0.981;0.974;0.999;1.045;0.96;0.913;1.053;1.027;1.14;1.246;1.226;0.987;0.845;0.622;0.688;0.616
0.112;0.404;0.159;0.364;0.18;1.223;0.705;0.774;0.884;1.013;1.348;2.049;2.484;3.386;5.857;6.151;3.071;5.301;13.802;17.569;9.444;7.636;2.852;2.722
1.452;1.17;1.436;0.761;2.144;1.483;1.128;0.789;1.228;1.247;1.544;0.806;1.143;1.014;1.327;1.25;1.236;1.185;1.395;1.189;1.173;1.576;0.875;0.967
0.179;0.374;0.374;0.205;0.169;0.231;0.301;0.482;0.594;0.773;0.733;0.674;0.51;0.514;0.457;0.361;0.635;0.577;0.512;0.459;0.722;0.606;0.278;0.262
0.947;1.765;0.925;0.835;1.864;1.487;3.358;2.548;3.249;1.781;2.018;1.968;1.491;1.706;2.143;2.727;2.522;1.885;2.401;2.537;3.65;3.57;2.049;1.606
0.814;1.405;0.861;1.051;1.654;1.172;1.651;1.859;1.364;1.384;0.67;1.019;1.112;1.359;1.223;1.367;2.395;2.546;3.074;2.214;2.433;3.157;1.991;1.49
0.443;0.338;0.441;0.357;0.802;0.891;0.775;0.987;0.779;0.598;0.524;0.823;0.745;0.885;0.921;0.779;0.683;0.774;0.848;0.561;0.694;0.728;0.684;0.454
0.257;0.22;0.242;0.188;0.12;0.154;0.163;0.142;0.15;0.205;0.247;0.232;0.258;0.286;0.3;0.271;0.277;0.265;0.304;0.284;0.3;0.33;0.357;0.314
2.019;1.481;1.092;1.229;0.876;0.892;0.454;0.936;1.227;1.151;1.383;1.821;2.031;1.485;1.697;1.175;1.122;1.497;1.982;1.69;1.529;1.103;1.191;0.971
5.006;5.777;4.856;3.889;4.525;6.145;5.551;3.708;5.133;5.559;6.072;5.671;6.176;5.646;7.737;6.613;7.086;7.154;7.005;6.413;6.218;6.523;6.251;3.976
1.469;1.328;1.625;1.648;1.523;1.722;1.054;1.236;1.21;1.694;1.088;0.642;0.817;1.029;1.363;1.381;1.031;1.445;1.982;1.323;1.014;1.205;0.975;0.916
0.782;1.062;0.938;0.839;1.023;1.077;0.804;0.485;0.558;1.002;0.955;0.943;0.829;1.139;1.059;0.805;0.681;0.551;0.686;0.635;0.759;1.561;2.478;2.373
4.312;4.151;4.069;2.705;3.193;4.322;4.286;4.151;5.279;5.203;5.522;5.507;6.23;6.848;7.346;5.755;6.145;6.694;5.87;6.132;4.723;5.877;6.35;5.219
0.465;0.461;0.462;0.394;0.522;0.829;0.61;0.466;0.618;0.888;1.004;0.901;1.217;1.132;1.611;1.089;0.802;0.935;1.169;1.115;0.966;1.108;0.951;0.973
0.399;0.364;0.46;0.411;0.401;0.48;0.538;0.411;0.597;0.559;0.61;0.495;0.646;0.569;0.647;0.583;0.602;0.56;0.57;0.449;0.515;0.482;0.522;0.37
1.398;1.259;1.338;1.205;1.904;2.091;2.206;1.524;2.041;2.178;1.69;1.404;1.712;2.266;2.157;1.555;1.46;1.595;1.729;1.496;1.306;1.359;1.065;0.769
