anio_1;anio_2;anio_3;anio_4;anio_5;anio_6;anio_7;anio_8;anio_9;anio_10;anio_11;anio_12;anio_13;anio_14;anio_15;anio_16;anio_17;anio_18;anio_19;anio_20;anio_21;anio_22;anio_23;anio_24;areas
0.101;0.1;0.101;0.102;0.118;0.159;0.443;0.373;0.297;0.461;0.339;0.575;0.509;0.575;0.889;1.258;0.82;0.4;0.544;0.541;1.025;1.456;1.074;1.19;Mathematics (miscellaneous)
0.226;0.221;0.193;0.205;0.209;0.19;0.219;0.197;0.213;0.271;0.224;0.234;0.264;0.29;0.301;0.387;0.395;0.426;0.377;0.371;0.63;0.496;0.479;0.516;Education
0.226;0.221;0.193;0.205;0.209;0.19;0.219;0.197;0.213;0.271;0.224;0.234;0.264;0.29;0.301;0.387;0.395;0.426;0.377;0.371;0.63;0.496;0.479;0.516;Mathematics (miscellaneous)
0.226;0.221;0.193;0.205;0.209;0.19;0.219;0.197;0.213;0.271;0.224;0.234;0.264;0.29;0.301;0.387;0.395;0.426;0.377;0.371;0.63;0.496;0.479;0.516;Applied Mathematics
0.124;0.116;0.16;0.125;0.158;0.206;0.203;0.307;0.408;0.378;0.463;0.345;0.481;0.431;0.382;0.559;0.358;0.396;0.336;0.401;0.351;0.491;0.424;0.451;Modeling and Simulation
0.124;0.116;0.16;0.125;0.158;0.206;0.203;0.307;0.408;0.378;0.463;0.345;0.481;0.431;0.382;0.559;0.358;0.396;0.336;0.401;0.351;0.491;0.424;0.451;Analysis
1.372;1.245;1.168;1.231;1.165;1.028;0.897;0.918;1.167;0.965;1.33;1.329;1.216;0.759;1.089;1.215;1.167;1.175;1.301;1.092;1.171;0.725;1.037;1.048;Mathematics (miscellaneous)
0.679;0.665;1.928;1.25;1.869;1.886;1.404;1.716;1.632;2.205;2.578;1.675;2.016;1.944;2.415;2.231;1.956;1.638;0.852;1.334;1.543;1.756;2.61;2.626;Mathematics (miscellaneous)
0.679;0.665;1.928;1.25;1.869;1.886;1.404;1.716;1.632;2.205;2.578;1.675;2.016;1.944;2.415;2.231;1.956;1.638;0.852;1.334;1.543;1.756;2.61;2.626;Software
0.24;0.26;0.384;0.298;0.336;0.237;0.314;0.275;0.288;0.285;0.249;0.214;0.256;0.215;0.237;0.274;0.283;0.246;0.27;0.228;0.271;0.28;0.352;0.386;Applied Mathematics
0.24;0.26;0.384;0.298;0.336;0.237;0.314;0.275;0.288;0.285;0.249;0.214;0.256;0.215;0.237;0.274;0.283;0.246;0.27;0.228;0.271;0.28;0.352;0.386;Artificial Intelligence
0.24;0.26;0.384;0.298;0.336;0.237;0.314;0.275;0.288;0.285;0.249;0.214;0.256;0.215;0.237;0.274;0.283;0.246;0.27;0.228;0.271;0.28;0.352;0.386;Software
0.24;0.26;0.384;0.298;0.336;0.237;0.314;0.275;0.288;0.285;0.249;0.214;0.256;0.215;0.237;0.274;0.283;0.246;0.27;0.228;0.271;0.28;0.352;0.386;Theoretical Computer Science
0.203;0.242;0.559;0.723;0.478;0.742;0.703;0.679;0.868;1.045;0.906;0.711;0.673;0.59;0.767;0.704;0.627;0.602;0.493;0.711;0.91;0.6;0.872;0.82;Applied Mathematics
0.203;0.242;0.559;0.723;0.478;0.742;0.703;0.679;0.868;1.045;0.906;0.711;0.673;0.59;0.767;0.704;0.627;0.602;0.493;0.711;0.91;0.6;0.872;0.82;Information Systems
0.203;0.242;0.559;0.723;0.478;0.742;0.703;0.679;0.868;1.045;0.906;0.711;0.673;0.59;0.767;0.704;0.627;0.602;0.493;0.711;0.91;0.6;0.872;0.82;Modeling and Simulation
0.203;0.242;0.559;0.723;0.478;0.742;0.703;0.679;0.868;1.045;0.906;0.711;0.673;0.59;0.767;0.704;0.627;0.602;0.493;0.711;0.91;0.6;0.872;0.82;Theoretical Computer Science
0.403;1.22;0.614;0.371;0.248;0.277;0.333;0.211;0.227;0.249;0.313;0.541;0.842;0.703;0.477;0.239;0.288;0.207;0.676;0.461;0.6;0.423;0.296;0.319;Mathematics (miscellaneous)
0.195;0.416;0.439;0.314;0.336;0.177;0.395;0.294;0.377;0.254;0.411;0.347;0.219;0.367;0.266;0.442;0.351;0.365;0.281;0.251;0.231;0.231;0.357;0.375;Theoretical Computer Science
0.195;0.416;0.439;0.314;0.336;0.177;0.395;0.294;0.377;0.254;0.411;0.347;0.219;0.367;0.266;0.442;0.351;0.365;0.281;0.251;0.231;0.231;0.357;0.375;Artificial Intelligence
0.195;0.416;0.439;0.314;0.336;0.177;0.395;0.294;0.377;0.254;0.411;0.347;0.219;0.367;0.266;0.442;0.351;0.365;0.281;0.251;0.231;0.231;0.357;0.375;Computer Vision and Pattern Recognition
0.211;0.208;0.316;0.446;0.458;0.339;0.338;0.244;0.322;0.289;0.276;0.281;0.248;0.269;0.254;0.279;0.239;0.212;0.216;0.203;0.298;0.276;0.399;0.472;Hardware and Architecture
0.211;0.208;0.316;0.446;0.458;0.339;0.338;0.244;0.322;0.289;0.276;0.281;0.248;0.269;0.254;0.279;0.239;0.212;0.216;0.203;0.298;0.276;0.399;0.472;Control and Systems Engineering
0.211;0.208;0.316;0.446;0.458;0.339;0.338;0.244;0.322;0.289;0.276;0.281;0.248;0.269;0.254;0.279;0.239;0.212;0.216;0.203;0.298;0.276;0.399;0.472;Information Systems
0.211;0.208;0.316;0.446;0.458;0.339;0.338;0.244;0.322;0.289;0.276;0.281;0.248;0.269;0.254;0.279;0.239;0.212;0.216;0.203;0.298;0.276;0.399;0.472;Modeling and Simulation
0.211;0.208;0.316;0.446;0.458;0.339;0.338;0.244;0.322;0.289;0.276;0.281;0.248;0.269;0.254;0.279;0.239;0.212;0.216;0.203;0.298;0.276;0.399;0.472;Theoretical Computer Science
0.211;0.208;0.316;0.446;0.458;0.339;0.338;0.244;0.322;0.289;0.276;0.281;0.248;0.269;0.254;0.279;0.239;0.212;0.216;0.203;0.298;0.276;0.399;0.472;Signal Processing
0.829;0.753;0.284;0.419;0.607;0.89;0.488;0.463;0.356;0.448;0.723;0.718;0.493;0.476;1.666;1.099;1.144;1.023;1.355;1.533;1.636;1.051;1.066;0.8;Statistics and Probability
0.829;0.753;0.284;0.419;0.607;0.89;0.488;0.463;0.356;0.448;0.723;0.718;0.493;0.476;1.666;1.099;1.144;1.023;1.355;1.533;1.636;1.051;1.066;0.8;Statistics, Probability and Uncertainty
4.445;3.529;2.45;2.49;2.588;3.654;2.975;3.058;3.811;3.909;3.73;3.638;3.069;3.247;4.286;4.457;3.176;2.971;3.746;4.472;4.814;4.976;4.405;3.397;Statistics and Probability
4.445;3.529;2.45;2.49;2.588;3.654;2.975;3.058;3.811;3.909;3.73;3.638;3.069;3.247;4.286;4.457;3.176;2.971;3.746;4.472;4.814;4.976;4.405;3.397;Statistics, Probability and Uncertainty
0.271;0.339;0.239;0.407;0.481;0.321;0.469;0.281;0.308;0.286;0.404;0.694;0.765;0.601;0.321;0.288;0.355;0.397;0.285;0.387;0.296;0.395;0.308;0.44;Mathematics (miscellaneous)
0.418;0.412;0.309;0.392;0.669;0.552;0.448;0.441;0.316;0.488;0.555;0.472;0.561;0.544;0.652;0.45;0.548;0.447;0.54;0.313;0.49;0.494;0.51;0.729;Theoretical Computer Science
0.319;0.382;0.296;0.347;0.51;0.639;0.757;0.386;0.241;0.299;0.358;0.299;0.365;0.448;0.536;0.492;0.47;0.404;0.475;0.505;0.528;0.509;0.507;0.529;Statistics and Probability
0.319;0.382;0.296;0.347;0.51;0.639;0.757;0.386;0.241;0.299;0.358;0.299;0.365;0.448;0.536;0.492;0.47;0.404;0.475;0.505;0.528;0.509;0.507;0.529;Statistics, Probability and Uncertainty
0.929;0.545;0.53;0.702;0.589;0.582;0.688;0.653;1.137;0.674;0.55;0.724;0.643;0.945;1.054;0.989;0.903;0.8;0.751;0.789;0.645;0.735;0.652;0.64;Statistics and Probability
0.929;0.545;0.53;0.702;0.589;0.582;0.688;0.653;1.137;0.674;0.55;0.724;0.643;0.945;1.054;0.989;0.903;0.8;0.751;0.789;0.645;0.735;0.652;0.64;Statistics, Probability and Uncertainty
0.579;0.724;0.711;0.716;0.865;0.873;1.025;0.937;0.981;0.974;0.999;1.045;0.96;0.913;1.053;1.027;1.14;1.246;1.226;0.987;0.845;0.622;0.688;0.616;Applied Mathematics
0.579;0.724;0.711;0.716;0.865;0.873;1.025;0.937;0.981;0.974;0.999;1.045;0.96;0.913;1.053;1.027;1.14;1.246;1.226;0.987;0.845;0.622;0.688;0.616;Statistics and Probability
